,category,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,NumOfObjectsInPic,CLASS_positiveTitle,CLASS_neutralTitle,CLASS_negativeTitle,CLASS_positiveText,CLASS_neutralText,CLASS_negativeText,lengthOfTitle,lengthOfText,TitleMatchPicOCR,CreatorMatchTitle,TextMatchPic,CON_numOfImg,CON_numOfRewards,CON_hasVideo,CON_text_Length,CON_numOfFbFriends,CON_experience,CON_goal,CON_duration,successful
193,Art,1,1,1,1,0,1,21,0,0,1,0,0,1,36,126,0,0,0,6,11,1,3321,1918,0,1600,30,1
194,Design,1,0,1,1,1,1,18,0,1,0,0,1,0,55,134,0,0,0,18,10,1,3825,0,3,30000,22,1
195,Fashion,0,0,1,1,0,1,17,0,1,0,0,0,1,15,31,0,0,0,2,3,0,1199,0,0,2000,30,0
196,Publishing,0,0,1,1,0,1,4,0,1,0,0,0,1,24,134,1,0,0,1,10,1,4440,4956,0,7500,30,1
197,Games,0,0,1,0,0,0,3,0,1,0,1,0,0,12,131,0,0,0,1,5,0,1116,0,0,26000,55,0
198,Film & Video,0,0,1,1,0,1,0,0,1,0,1,0,0,50,130,0,0,0,1,9,1,5040,724,0,12000,39,1
199,Technology,0,0,0,1,0,0,9,0,1,0,0,1,0,50,132,0,0,0,8,8,1,9181,0,0,100000,43,0
200,Art,0,0,0,1,0,0,16,0,1,0,0,1,0,13,89,0,0,0,1,6,1,1502,0,0,3000,53,1
201,Games,0,0,1,1,1,1,0,0,1,0,0,0,1,17,71,1,0,0,70,5,1,9119,749,3,22000,24,1
202,Crafts,0,0,1,0,0,1,15,0,1,0,1,0,0,50,130,0,0,0,32,16,1,18189,510,0,1000,30,1
203,Art,0,0,1,1,0,0,9,0,1,0,0,1,0,38,99,0,0,0,1,4,0,3675,353,0,800,30,0
204,Art,0,0,1,0,0,1,17,0,1,0,0,1,0,13,91,0,0,0,1,5,1,2656,0,0,4000,30,0
205,Music,1,0,0,1,0,0,21,0,1,0,0,1,0,41,118,0,0,0,6,28,1,2256,0,0,20000,37,1
206,Film & Video,1,0,1,1,0,1,12,0,1,0,0,1,0,7,130,0,0,0,1,11,1,1485,0,0,10000,37,0
